,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,0.5,0.0,0.0,7.75,14.5,28.5,22.0,28.25,36.75,45.25,38.25,26.25,23.0,31.75,45.5,34.5,18.0,13.75,10.25,6.75,2.25
Tue,0.0,0.0,0.0,4.0,14.0,32.75,25.0,27.5,25.25,45.5,29.0,27.25,34.75,33.5,35.5,50.5,23.5,13.75,10.0,8.25,2.5
Wed,0.0,0.0,0.0,4.25,15.5,33.5,20.0,29.5,24.25,41.0,31.0,25.75,26.25,30.0,33.0,41.25,14.0,12.75,11.75,4.25,3.0
Thu,1.5,0.0,0.0,6.25,18.75,31.0,13.5,13.25,32.75,21.25,29.5,28.0,25.0,31.25,37.25,47.0,22.25,13.5,9.75,9.75,2.25
Fri,1.0,0.0,0.0,3.2,19.6,35.2,14.4,25.6,29.8,40.8,34.4,33.6,33.6,39.0,89.6,46.6,26.2,18.2,17.0,10.2,2.8
Sat,1.4,0.0,0.0,4.8,10.2,25.8,24.8,26.4,35.6,52.0,45.0,50.4,52.2,59.6,60.2,47.2,40.4,30.4,16.8,11.2,3.0
Sun,0.75,0.0,0.0,1.25,8.0,27.0,21.5,28.5,49.75,63.5,53.5,58.75,57.5,78.0,64.5,68.0,27.25,29.25,16.75,10.75,8.0
