,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,0.5,0.0,0.0,4.5,6.0,8.0,5.25,6.5,8.0,5.25,8.25,4.75,4.5,12.5,6.25,9.5,7.5,3.75,3.5,1.5,1.25
Tue,0.0,0.0,0.0,4.75,5.0,12.5,7.0,5.25,6.75,6.0,4.25,5.25,7.0,5.25,7.75,6.25,5.75,4.75,2.0,1.5,0.75
Wed,0.0,0.0,0.0,1.75,6.0,10.0,3.75,5.75,5.0,6.5,7.0,4.25,5.25,8.0,11.25,8.25,5.75,3.25,2.25,0.75,0.5
Thu,0.25,0.0,0.0,2.5,7.5,13.75,5.5,6.5,6.5,6.75,7.75,7.0,4.75,5.0,10.5,7.75,7.25,4.0,1.75,2.25,0.75
Fri,0.2,0.0,0.0,3.8,6.8,12.2,8.6,6.0,3.4,6.6,7.8,5.2,4.8,8.2,7.8,10.2,11.6,6.4,4.2,5.0,0.8
Sat,0.6,0.0,0.0,4.8,6.2,7.6,12.8,7.8,13.0,14.4,13.4,12.6,12.2,9.2,16.4,15.8,9.6,5.0,4.2,4.0,0.8
Sun,0.5,0.0,0.0,2.5,3.0,13.5,9.25,12.5,18.25,23.5,20.0,20.5,55.75,21.5,11.75,11.75,12.0,6.5,5.25,1.25,0.0
