,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,9.0,0.0,0.0,85.75,197.5,281.0,209.75,185.5,181.0,214.25,217.75,228.5,289.25,307.25,335.25,355.25,282.0,211.0,141.5,67.0,19.25
Tue,7.0,0.0,0.0,83.75,226.25,322.5,206.75,152.0,160.75,152.5,208.0,180.5,252.75,241.25,339.0,304.25,216.5,183.0,123.75,64.0,19.0
Wed,5.75,0.0,0.0,78.25,223.5,308.0,197.5,158.75,187.5,149.0,195.75,215.25,258.5,255.25,325.0,316.75,199.5,172.5,110.25,74.5,19.0
Thu,6.5,0.0,0.0,74.5,236.25,338.25,207.25,166.75,167.0,181.25,200.75,208.0,245.75,304.75,337.5,350.25,274.25,197.25,139.5,73.75,26.0
Fri,14.6,0.0,0.0,82.6,234.2,338.0,231.4,213.2,254.6,289.4,355.2,373.4,415.2,492.0,659.0,585.0,444.8,266.6,193.4,94.0,36.2
Sat,14.4,0.0,0.0,96.8,207.0,336.4,295.4,331.8,296.2,345.6,379.2,445.0,450.0,565.2,575.4,544.0,451.0,449.8,358.6,153.8,44.2
Sun,11.0,0.0,0.0,75.5,148.75,245.0,288.0,291.25,289.0,330.5,391.5,509.75,630.25,717.75,790.25,671.5,567.25,426.5,314.0,112.75,29.25
