,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,1.0,0.0,0.0,7.25,11.5,34.25,20.5,14.75,21.25,19.0,24.75,17.75,11.25,15.25,24.75,20.5,10.75,11.0,8.0,3.0,0.75
Tue,0.0,0.0,0.0,3.75,13.25,36.75,21.5,11.5,16.0,16.0,18.75,11.0,12.0,11.25,20.0,24.75,11.5,7.75,11.0,4.0,1.75
Wed,0.75,0.0,0.0,5.25,11.5,38.75,17.0,10.25,14.0,19.75,18.5,12.5,10.5,19.25,19.25,22.5,12.75,7.25,9.0,4.5,2.5
Thu,0.75,0.0,0.0,3.25,12.75,42.0,22.75,12.0,14.0,11.5,18.25,19.5,10.25,15.75,20.0,23.0,13.0,9.75,10.0,7.0,1.5
Fri,3.2,0.0,0.0,7.6,13.6,39.2,23.4,17.4,28.2,21.0,26.2,19.0,17.8,19.4,32.2,25.4,20.6,12.8,14.6,11.8,5.8
Sat,2.2,0.0,0.0,6.0,13.2,28.6,25.2,26.0,36.0,35.6,38.4,36.6,30.6,27.2,39.4,32.0,16.8,13.0,34.8,19.4,2.8
Sun,1.25,0.0,0.0,4.25,12.75,33.75,31.5,20.0,36.75,29.0,45.25,38.25,28.25,29.5,31.0,23.25,16.75,18.0,20.25,12.0,2.25
