,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,13.5,0.5,0.0,6.75,11.75,14.0,11.0,11.75,21.25,21.75,29.75,33.0,61.5,74.25,104.5,195.5,154.5,135.5,125.75,193.25,60.0
Tue,13.0,0.5,0.0,4.75,14.0,11.75,13.25,12.75,20.5,28.5,32.0,36.0,61.0,77.0,96.5,217.0,159.75,131.25,138.75,220.25,59.5
Wed,15.25,0.25,0.0,5.25,11.75,11.5,9.75,14.5,17.75,24.75,34.75,38.5,53.5,71.0,102.0,226.75,174.5,127.5,130.0,224.75,63.75
Thu,16.25,1.25,0.0,6.75,12.75,12.25,11.5,12.5,20.75,31.0,38.75,39.75,56.75,74.0,112.0,209.25,158.5,130.0,135.0,217.0,60.25
Fri,27.8,1.2,0.0,7.6,11.8,10.6,12.4,15.8,21.8,25.2,38.2,43.8,68.2,83.8,132.6,217.6,161.8,148.4,157.8,275.2,85.0
Sat,21.2,0.4,0.0,3.8,8.4,6.4,14.6,15.6,19.4,43.0,46.6,65.2,70.8,119.0,147.2,153.2,115.2,130.6,156.4,220.2,75.0
Sun,18.0,0.5,0.0,6.75,12.5,15.5,11.25,11.75,16.75,37.25,48.5,55.0,64.75,109.75,145.75,159.25,115.0,122.5,131.0,155.25,58.25
