,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,1.25,0.0,0.0,15.25,36.75,59.0,35.5,27.0,32.5,65.0,128.75,112.5,81.0,68.25,62.0,44.0,27.0,21.5,18.5,9.25,2.5
Tue,0.0,0.0,0.0,14.25,37.5,70.75,24.75,29.25,36.0,39.75,36.75,36.25,44.5,48.25,71.75,51.0,29.0,16.5,13.25,9.75,2.5
Wed,1.0,0.0,0.0,14.5,44.0,60.5,26.0,24.0,34.75,48.75,38.75,37.75,56.0,44.0,62.5,55.5,20.0,22.0,15.25,10.75,1.25
Thu,1.5,0.0,0.0,13.0,34.75,66.0,27.25,29.5,29.5,39.25,36.0,28.5,45.75,50.5,88.75,59.5,31.5,19.0,20.5,10.5,1.0
Fri,1.6,0.0,0.0,15.2,39.6,64.8,37.6,40.4,46.4,60.4,59.8,42.0,53.8,63.6,98.8,214.2,159.6,51.8,33.0,19.0,4.0
Sat,1.0,0.0,0.0,19.4,38.2,54.0,58.2,56.0,58.6,78.8,64.6,56.2,41.2,34.0,65.2,39.8,26.6,20.0,13.4,13.8,3.4
Sun,1.0,0.0,0.0,13.25,27.0,42.5,45.0,34.5,47.75,38.25,45.25,44.25,39.0,37.75,57.0,53.0,21.5,19.0,11.5,7.75,2.75
