,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,21.5,0.25,0.0,18.5,48.5,134.0,101.25,66.0,54.25,63.75,61.25,66.25,78.5,91.0,112.25,147.75,126.75,117.25,113.75,124.75,48.5
Tue,15.5,0.0,0.0,21.25,61.75,160.25,130.5,79.75,46.25,58.75,67.0,54.25,59.0,66.0,90.0,127.0,95.5,76.25,89.0,103.5,39.75
Wed,14.25,0.5,0.0,16.0,60.25,141.25,127.25,59.75,42.0,62.0,67.5,58.75,66.5,57.5,99.5,138.5,106.5,87.0,101.75,120.25,41.75
Thu,15.5,0.5,0.0,16.5,58.75,142.75,129.5,58.25,40.75,55.0,67.5,65.75,62.25,63.0,93.0,155.75,115.25,88.25,94.75,111.75,46.5
Fri,25.0,0.4,0.0,15.2,55.0,132.8,120.2,59.4,43.2,57.6,68.2,82.4,70.4,86.6,146.8,164.6,142.8,130.6,132.6,171.0,62.0
Sat,27.0,1.0,0.0,7.4,36.0,71.0,82.2,70.6,81.8,82.6,66.4,74.6,83.4,103.4,114.2,127.4,105.2,109.8,116.2,125.6,58.8
Sun,27.25,0.0,0.0,11.0,21.75,44.25,40.25,41.25,73.5,55.75,69.75,61.75,90.75,113.25,164.75,157.0,165.5,163.25,159.5,146.75,75.0
