,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,34.75,0.0,0.0,11.5,82.5,230.0,223.25,266.75,372.5,499.5,532.75,605.0,587.5,551.5,557.25,576.0,527.5,446.0,386.75,269.0,97.5
Tue,35.25,0.0,0.0,15.0,87.25,249.25,198.75,229.75,347.25,437.75,501.5,508.25,497.25,453.0,535.0,562.5,469.5,371.5,342.75,219.0,91.0
Wed,37.5,0.0,0.0,10.25,80.25,230.75,219.5,239.25,302.5,472.5,524.25,507.75,499.75,518.25,553.75,616.0,476.5,380.5,346.5,241.5,90.75
Thu,36.5,0.0,0.0,15.25,101.75,240.0,231.0,244.25,307.25,459.25,517.25,496.25,486.5,476.5,543.0,615.5,521.5,427.25,378.5,275.25,106.5
Fri,66.2,0.0,0.0,11.8,100.2,241.6,212.8,256.0,398.6,555.8,617.0,622.2,628.0,600.8,680.8,811.4,710.2,568.6,519.6,378.0,164.4
Sat,60.8,0.0,0.0,21.0,73.4,200.4,238.6,447.4,658.2,814.4,906.2,948.4,911.8,909.4,949.6,855.0,702.8,574.0,533.4,386.4,145.6
Sun,37.0,0.0,0.0,14.5,54.0,128.0,206.25,367.5,644.0,771.0,890.5,941.75,829.25,804.5,797.5,729.75,637.75,533.0,451.25,282.5,155.0
