,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,1.0,0.0,0.0,4.0,16.0,22.25,13.5,14.0,19.5,25.25,26.25,24.0,26.25,26.0,52.5,29.0,15.25,13.0,11.0,8.5,2.25
Tue,0.75,0.0,0.0,6.75,19.75,23.5,19.0,12.75,16.0,17.5,24.5,15.75,23.0,30.5,52.75,35.5,17.25,11.75,11.75,10.75,3.75
Wed,1.0,0.0,0.0,4.25,20.75,25.5,13.75,11.0,19.75,30.0,22.25,17.5,27.25,35.25,55.5,48.5,18.75,13.75,15.75,11.5,2.25
Thu,1.0,0.0,0.0,4.25,19.25,30.75,21.0,11.75,19.0,28.75,26.25,25.25,27.75,34.25,51.5,48.75,20.0,18.0,14.0,11.25,4.5
Fri,1.6,0.0,0.0,8.0,18.2,27.6,19.0,20.4,24.8,47.8,38.8,35.0,45.8,43.4,91.2,73.4,41.0,24.4,28.6,16.6,3.6
Sat,1.2,0.0,0.0,8.6,16.0,21.8,27.8,28.8,25.6,32.6,32.8,30.8,28.8,31.6,61.4,37.6,20.4,14.8,16.6,8.2,2.8
Sun,0.5,0.0,0.0,2.25,13.25,21.75,21.0,17.75,19.25,35.25,32.0,21.75,25.25,24.0,49.75,32.5,24.25,11.75,12.25,6.25,4.25
