,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,2.0,0.0,0.0,42.5,70.25,98.0,86.75,85.75,106.5,133.0,136.25,179.5,233.0,237.0,316.0,419.25,268.25,229.0,221.25,139.0,37.5
Tue,5.75,0.0,0.0,41.5,77.25,113.5,84.5,96.5,110.25,126.0,148.75,154.25,217.5,249.25,321.5,472.75,316.0,246.5,235.75,169.25,48.0
Wed,5.75,0.0,0.0,41.25,78.0,105.75,77.75,80.5,104.5,141.25,156.25,160.75,200.5,247.75,339.0,509.5,322.0,239.0,262.0,195.75,45.25
Thu,8.75,0.0,0.0,41.75,78.0,111.25,76.25,98.75,121.25,137.5,163.0,200.75,210.0,257.75,340.75,539.75,335.0,260.25,290.25,212.75,49.25
Fri,13.2,0.0,0.0,40.8,82.6,102.6,89.0,98.4,107.6,158.4,191.4,229.6,248.4,284.8,426.4,675.6,429.6,324.8,349.8,290.4,86.6
Sat,10.8,0.0,0.0,39.6,50.4,78.2,89.8,99.8,119.4,191.8,228.8,276.8,313.4,386.0,422.2,395.0,372.6,339.0,379.6,267.8,84.6
Sun,4.25,0.0,0.0,32.75,46.25,92.25,109.75,93.75,107.25,143.75,197.0,243.5,301.25,357.25,382.25,326.25,300.75,266.5,248.75,153.0,43.75
