,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,17.0,0.0,0.0,10.25,15.25,27.75,29.0,23.75,30.75,30.5,31.5,47.5,54.5,52.0,81.25,102.75,90.5,78.0,76.5,90.5,52.5
Tue,14.0,0.0,0.0,11.0,18.5,24.5,26.0,16.75,19.0,23.0,26.0,35.25,38.0,45.0,71.25,96.25,85.25,65.0,76.0,62.0,29.5
Wed,15.5,0.0,0.0,8.75,17.75,20.25,24.0,11.25,17.0,20.5,24.25,31.25,33.75,53.25,62.25,96.75,83.5,67.5,71.25,73.75,27.0
Thu,12.5,0.0,0.0,7.5,17.0,19.5,24.75,14.25,14.5,22.0,25.75,35.75,40.5,39.25,66.75,89.25,89.0,68.5,76.5,73.5,32.0
Fri,23.2,0.0,0.0,8.0,17.8,18.4,27.8,15.2,19.2,23.4,29.6,38.4,48.4,60.6,82.0,105.2,99.6,94.8,96.2,107.2,48.4
Sat,23.0,0.0,0.0,6.6,11.8,16.2,24.4,25.2,23.4,32.2,37.4,41.8,50.6,55.0,68.4,74.6,66.4,87.2,96.8,100.0,43.6
Sun,17.5,0.0,0.0,7.5,9.5,9.5,25.0,21.75,18.0,33.75,37.5,50.25,48.25,76.25,96.25,94.0,105.75,119.25,117.0,117.25,58.5
