,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,1.5,0.0,0.0,34.5,55.75,90.0,72.25,53.25,73.0,84.5,74.5,81.5,84.0,180.75,293.0,286.5,142.0,92.75,90.75,59.5,6.5
Tue,2.0,0.0,0.0,31.75,60.5,90.5,62.25,64.25,70.5,84.5,65.5,70.5,77.5,236.75,368.0,393.5,158.75,114.75,125.0,75.5,11.5
Wed,1.5,0.0,0.0,30.25,63.75,84.0,65.0,68.0,74.25,100.75,73.0,71.5,81.75,225.0,416.0,385.0,162.0,107.75,103.0,80.0,16.25
Thu,1.75,0.0,0.0,33.25,54.25,102.75,71.25,67.0,69.5,88.75,77.75,90.75,89.5,215.5,399.75,372.25,166.0,125.25,128.0,83.75,10.5
Fri,3.0,0.0,0.0,32.4,66.6,92.8,71.0,108.2,95.2,120.2,112.2,89.4,103.2,263.4,389.6,417.6,242.8,153.4,141.4,89.4,19.2
Sat,1.8,0.0,0.0,27.4,56.4,81.8,80.6,83.4,94.6,118.8,110.0,118.2,96.8,141.4,266.4,145.0,99.4,87.4,83.6,63.6,13.0
Sun,0.75,0.0,0.0,34.5,45.0,67.0,86.75,80.25,94.5,135.0,101.75,103.5,107.75,108.5,180.25,91.0,82.75,67.75,60.5,35.75,9.5
