,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,0.5,0.0,0.0,8.0,25.75,55.0,24.5,23.0,23.0,26.25,19.5,20.5,19.5,25.25,31.0,27.25,8.75,4.0,4.5,2.75,1.0
Tue,0.25,0.0,0.0,10.5,25.0,72.0,31.25,26.5,18.0,15.75,22.5,16.75,14.75,18.25,24.0,23.75,12.5,4.0,3.75,2.0,1.0
Wed,0.25,0.0,0.0,8.5,32.5,68.5,22.25,21.0,21.5,17.5,25.75,17.75,13.5,15.5,26.75,21.5,4.75,6.25,2.5,5.75,2.5
Thu,0.25,0.0,0.0,6.5,30.0,68.5,28.0,23.5,17.75,19.25,25.25,19.75,17.0,18.75,23.5,28.25,13.25,3.25,5.0,3.25,1.75
Fri,1.6,0.0,0.0,14.4,28.0,71.2,28.0,24.2,24.6,21.0,32.2,29.2,26.6,32.0,38.4,39.0,21.6,17.2,6.6,4.6,3.2
Sat,0.6,0.0,0.0,15.2,27.0,50.4,38.6,55.8,56.0,46.0,60.2,37.4,28.0,33.4,30.8,23.6,16.6,12.6,9.4,5.6,2.2
Sun,0.25,0.0,0.0,9.25,21.5,52.0,58.25,49.75,65.5,56.0,59.0,55.75,40.0,29.5,38.0,24.5,15.75,11.25,5.25,4.0,1.5
