,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,2.25,0.0,0.0,21.25,36.25,59.0,52.0,51.75,65.75,117.75,104.75,83.5,96.25,110.75,136.25,178.75,111.25,62.5,54.25,25.0,5.25
Tue,0.5,0.0,0.0,16.75,36.0,71.25,43.0,48.25,73.0,95.0,77.25,99.75,92.5,99.25,150.0,223.5,131.25,76.0,49.0,32.0,7.0
Wed,1.5,0.0,0.0,11.75,37.75,65.75,46.25,54.0,69.25,90.0,91.25,94.0,104.0,110.0,152.75,254.25,128.75,66.75,60.0,27.75,6.75
Thu,1.25,0.0,0.0,15.25,44.5,77.25,48.0,54.75,83.25,97.0,85.25,87.75,94.25,116.25,154.0,255.0,129.75,80.5,66.5,34.75,9.25
Fri,3.6,0.0,0.0,16.0,42.4,71.8,56.2,64.2,89.4,113.0,121.8,109.2,102.4,135.8,203.2,348.6,200.0,106.0,82.2,50.8,18.0
Sat,2.6,0.0,0.0,21.2,45.4,72.2,103.6,124.8,143.2,140.0,137.6,127.4,151.8,142.6,150.4,129.0,79.2,71.0,77.0,44.6,13.0
Sun,3.75,0.0,0.0,14.75,28.75,61.75,68.75,75.0,88.75,111.25,107.0,114.0,151.25,134.0,124.0,110.75,71.75,64.25,49.75,21.5,8.25
