,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,1.75,0.0,0.0,6.5,13.0,12.5,7.25,7.5,11.0,7.25,11.75,9.0,11.0,13.75,20.5,24.5,16.5,17.25,13.75,21.5,8.25
Tue,3.25,0.0,0.0,5.75,16.75,9.0,6.25,8.25,7.75,5.5,8.5,6.5,7.0,7.0,8.0,18.5,18.75,13.25,14.5,19.5,7.75
Wed,2.75,0.0,0.0,4.25,12.25,9.5,6.25,7.5,6.0,9.0,5.0,6.75,5.25,10.0,9.0,18.0,12.25,17.0,11.5,16.5,6.0
Thu,3.0,0.0,0.0,3.75,13.5,9.5,8.75,9.75,7.5,7.5,9.25,9.0,5.5,8.5,9.25,22.25,15.5,10.5,10.5,24.0,5.5
Fri,5.0,0.0,0.0,4.0,13.0,11.6,7.4,8.4,6.4,6.2,7.4,10.4,9.4,10.6,19.2,26.6,20.4,17.2,19.8,26.6,9.0
Sat,5.8,0.0,0.0,1.0,6.6,12.0,12.0,12.6,17.0,16.8,17.2,13.6,11.2,14.6,15.2,19.4,18.0,14.2,16.8,21.0,9.8
Sun,7.25,0.0,0.0,2.0,5.75,10.25,12.25,13.75,17.75,20.75,18.0,17.75,11.75,19.5,19.0,25.5,29.0,23.75,16.75,23.5,12.75
