,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,11.25,0.0,0.0,9.25,27.75,80.75,44.75,30.0,33.25,43.75,40.5,54.75,49.5,56.0,75.75,85.25,83.75,73.5,64.5,75.5,31.0
Tue,14.0,0.0,0.0,9.0,32.5,90.0,45.25,36.5,37.75,40.25,40.0,40.75,40.25,50.0,59.5,86.25,67.75,49.5,54.5,70.75,27.75
Wed,10.75,0.0,0.0,10.75,30.5,82.75,46.5,30.5,25.5,41.75,42.75,38.0,47.5,45.5,57.5,78.25,65.75,60.0,65.75,62.0,21.5
Thu,8.75,0.0,0.0,8.25,31.75,82.25,47.5,30.75,38.75,42.25,51.0,48.0,48.0,50.5,67.5,88.5,70.25,63.25,67.75,71.0,22.0
Fri,19.6,0.0,0.0,7.4,32.2,82.0,50.8,31.2,35.6,45.6,46.8,58.6,51.4,59.6,86.8,102.4,84.6,85.0,87.6,95.6,34.0
Sat,14.6,0.0,0.0,3.6,11.6,25.6,32.8,37.8,44.8,65.2,68.4,55.6,70.4,76.4,94.4,85.4,65.4,62.8,74.4,72.8,31.6
Sun,16.5,0.0,0.0,5.75,6.25,18.5,28.0,29.0,51.0,46.0,57.0,60.25,58.0,67.0,92.75,90.25,75.5,77.0,93.75,78.0,36.5
