,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,1.0,0.0,0.0,51.0,116.75,156.0,89.75,72.25,84.5,70.25,67.0,66.5,87.0,74.75,99.75,89.75,65.75,41.75,43.25,22.75,8.5
Tue,0.25,0.0,0.0,60.25,125.75,181.0,86.5,72.0,63.0,67.0,62.5,49.25,61.0,72.5,120.75,111.75,59.0,37.0,35.5,25.25,9.0
Wed,1.5,0.0,0.0,56.5,154.0,182.5,87.5,70.0,71.0,81.5,74.25,58.0,69.0,71.0,108.0,109.5,55.25,36.25,36.75,31.25,7.25
Thu,1.0,0.0,0.0,60.0,127.75,198.25,82.25,74.75,72.75,82.5,71.0,64.75,76.25,75.75,142.5,119.25,60.5,51.25,33.5,27.0,5.75
Fri,1.6,0.0,0.0,59.2,136.8,187.8,111.4,99.0,91.2,151.8,131.2,94.0,117.4,135.8,178.8,173.0,98.0,74.6,70.8,44.0,11.2
Sat,1.4,0.0,0.0,73.8,114.6,154.0,139.6,146.0,139.8,131.4,169.4,111.8,106.8,155.0,119.4,95.6,82.8,69.0,49.6,36.6,11.6
Sun,1.0,0.0,0.0,37.75,72.0,134.5,104.25,112.75,116.0,103.0,156.75,124.75,127.0,139.0,137.25,103.0,87.75,77.0,40.75,29.75,5.25
