,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,2.25,0.0,0.0,2.25,14.75,30.0,11.0,9.5,5.5,5.75,9.5,7.25,5.5,7.25,9.5,8.25,11.0,10.5,13.75,5.25,2.25
Tue,3.0,0.0,0.0,2.5,19.5,32.75,23.5,7.25,5.25,7.75,8.25,9.0,5.75,8.25,8.25,8.75,8.25,6.0,6.25,8.75,3.75
Wed,2.25,0.0,0.0,1.75,18.0,37.25,16.0,5.75,6.5,6.25,6.5,7.75,9.75,8.0,10.25,11.75,10.75,3.75,5.75,8.5,5.25
Thu,4.0,0.0,0.0,2.25,16.0,37.75,14.25,8.25,7.25,6.25,8.0,6.25,4.0,9.0,8.5,8.75,9.75,7.5,5.75,11.25,5.25
Fri,4.6,0.0,0.0,2.6,16.4,38.8,17.4,7.0,5.2,6.0,9.8,8.6,6.0,8.4,12.0,11.4,14.2,7.8,11.2,15.8,5.0
Sat,3.2,0.0,0.0,0.2,3.2,5.4,7.6,7.0,4.8,7.4,8.4,6.2,6.0,8.2,14.0,11.6,10.0,7.8,11.4,11.8,9.2
Sun,3.0,0.0,0.0,0.25,3.5,4.25,5.0,5.0,8.25,11.5,8.0,6.25,5.75,14.25,12.5,16.25,8.75,15.0,15.5,16.25,4.75
