,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,0.0,0.0,0.0,46.75,85.25,117.25,66.0,43.25,45.5,45.0,44.5,34.0,40.75,32.75,62.25,46.5,36.0,30.75,16.0,11.5,3.0
Tue,0.25,0.0,0.0,60.75,111.5,127.0,72.25,45.0,45.75,40.5,42.75,27.0,33.25,25.5,51.0,48.25,24.75,19.0,20.5,9.75,2.25
Wed,0.75,0.0,0.0,50.5,102.25,124.25,64.0,46.25,44.5,34.5,44.5,33.75,28.75,27.5,54.25,44.5,26.75,18.25,16.5,12.5,2.25
Thu,1.0,0.0,0.0,48.75,103.0,136.75,62.5,45.0,37.75,36.25,45.0,39.5,29.25,32.75,52.25,48.5,32.5,23.75,18.0,13.25,4.0
Fri,1.6,0.0,0.0,50.4,107.2,137.2,76.0,46.4,45.0,50.2,66.4,47.0,49.2,51.2,84.2,85.4,59.6,42.6,35.0,16.0,6.6
Sat,2.0,0.0,0.0,54.8,72.8,124.6,95.0,105.6,93.8,76.2,77.0,75.4,54.6,59.0,63.2,53.8,43.0,31.2,17.4,11.8,4.4
Sun,0.0,0.0,0.0,26.5,57.25,96.5,73.5,74.75,80.0,61.25,77.0,72.75,64.25,54.75,76.25,59.25,60.25,34.75,20.0,14.0,3.75
