,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,1.25,0.0,0.0,30.5,106.5,222.25,101.25,86.5,80.25,69.0,83.5,57.25,47.75,59.5,66.25,61.25,31.25,14.5,13.5,9.75,5.0
Tue,0.5,0.0,0.0,38.5,130.5,274.5,120.25,75.0,73.75,65.75,75.75,53.25,40.0,49.5,59.0,64.0,18.0,13.0,9.25,11.75,4.5
Wed,0.5,0.0,0.0,36.5,126.0,262.75,118.5,83.5,71.0,63.0,78.0,60.25,39.75,40.75,55.0,68.75,29.0,12.75,10.5,9.0,6.25
Thu,1.5,0.0,0.0,33.25,128.0,259.75,111.25,83.0,75.0,57.75,81.0,49.25,40.75,39.5,53.0,74.75,25.25,15.0,10.5,11.0,3.75
Fri,4.4,0.0,0.0,44.8,123.6,262.8,109.6,86.6,87.4,69.6,82.2,67.8,52.6,48.4,75.0,87.4,44.0,27.2,19.0,14.4,9.2
Sat,2.0,0.0,0.0,40.4,80.0,117.4,137.6,112.2,125.0,125.6,138.2,104.8,74.8,68.2,99.8,67.4,35.4,20.8,13.0,12.8,9.0
Sun,1.0,0.0,0.0,28.25,59.25,136.75,134.0,121.5,132.5,118.75,124.75,100.25,73.0,68.0,71.5,55.0,30.5,25.75,12.0,9.75,7.75
