,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,1.75,0.0,0.0,2.0,3.5,4.0,5.25,6.5,7.25,10.5,9.75,19.25,14.0,25.0,42.25,53.25,47.5,34.0,38.25,51.5,14.5
Tue,3.0,0.0,0.0,2.25,4.5,6.75,5.75,8.5,10.25,10.0,9.75,10.5,19.0,28.25,37.0,58.0,52.0,41.75,49.25,58.0,15.5
Wed,2.5,0.0,0.0,2.5,6.25,5.75,8.0,6.0,8.25,10.5,12.75,19.5,19.5,24.25,34.75,68.0,48.0,46.0,45.75,65.25,13.5
Thu,3.25,0.25,0.0,2.0,5.25,4.25,7.0,7.25,5.25,12.25,11.5,16.25,17.0,23.0,36.5,67.0,46.0,45.5,45.0,54.0,15.75
Fri,4.8,0.8,0.0,3.2,7.8,10.2,9.2,5.2,8.0,13.2,16.8,18.6,21.2,27.8,44.8,63.0,49.4,45.6,54.2,75.8,24.2
Sat,6.6,0.6,0.0,2.8,6.6,4.8,5.4,6.2,8.6,14.6,21.6,27.6,25.0,37.4,52.6,43.6,28.8,46.8,55.0,49.2,26.0
Sun,3.75,0.0,0.0,2.75,2.5,4.5,5.75,7.5,8.0,14.75,19.5,21.5,33.0,40.75,59.75,48.0,46.75,53.25,52.25,46.5,19.25
