,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,1.5,0.0,0.0,12.0,32.5,40.5,43.0,71.0,73.75,83.75,84.25,83.25,89.5,102.75,186.0,322.0,151.0,84.25,57.0,37.75,11.75
Tue,0.75,0.0,0.0,11.0,30.0,36.0,41.5,62.25,76.0,91.5,88.25,97.5,84.25,125.25,250.25,433.5,172.75,99.25,73.25,50.75,14.5
Wed,1.5,0.0,0.0,10.0,30.5,38.5,50.0,50.25,75.75,100.0,91.25,102.25,84.0,133.75,236.75,412.0,169.5,93.0,82.0,55.25,8.75
Thu,1.75,0.0,0.0,14.5,29.75,40.5,38.5,54.25,64.5,86.75,78.25,95.0,114.0,142.5,256.75,415.75,179.75,102.5,101.0,64.75,12.5
Fri,4.4,0.0,0.0,9.8,30.2,51.2,49.2,61.6,92.0,118.2,115.0,120.6,120.6,180.8,321.0,582.4,256.0,134.6,126.8,76.8,17.6
Sat,2.4,0.0,0.0,11.4,22.2,44.4,51.0,61.8,66.8,84.8,92.2,86.6,105.4,122.6,124.0,103.6,80.2,86.0,70.2,48.6,11.6
Sun,0.5,0.0,0.0,9.25,18.5,33.75,57.0,61.75,64.0,93.75,71.5,94.5,102.0,89.0,103.0,79.5,74.0,62.0,47.5,24.5,6.5
