,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,0.5,0.0,0.0,18.0,47.25,73.75,40.75,48.5,50.0,55.0,50.25,49.25,46.5,69.5,95.5,111.25,67.0,37.75,30.5,18.75,2.5
Tue,1.25,0.0,0.0,15.5,52.5,99.25,42.0,43.5,41.25,47.0,57.0,48.25,39.5,66.25,136.5,165.5,71.25,36.0,33.0,16.5,2.75
Wed,1.25,0.0,0.0,18.25,49.25,98.0,41.75,44.5,49.75,52.5,52.75,52.75,48.0,67.5,114.25,165.75,76.5,42.0,32.0,20.25,4.0
Thu,0.25,0.0,0.0,22.5,60.0,111.5,43.25,39.0,57.25,49.0,52.75,52.0,52.25,74.0,123.5,164.25,90.0,53.25,38.75,18.25,8.5
Fri,2.8,0.0,0.0,22.0,51.4,99.4,54.4,40.4,47.2,59.6,63.6,61.6,74.4,84.0,163.8,237.6,147.2,72.8,59.2,32.8,8.4
Sat,1.6,0.0,0.0,20.8,49.6,68.2,69.6,61.0,73.2,72.4,76.8,68.0,74.0,81.0,97.0,81.6,49.2,40.4,36.4,19.4,10.2
Sun,0.75,0.0,0.0,16.25,33.25,55.75,54.25,53.25,67.5,70.5,64.25,67.0,67.25,87.25,71.5,60.75,58.0,49.25,40.75,20.5,4.0
