,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,0.25,0.0,0.0,39.75,86.25,116.75,70.0,52.5,52.5,46.0,43.75,48.75,45.0,35.75,59.75,40.75,30.75,20.0,14.25,7.5,1.5
Tue,0.5,0.0,0.0,54.0,92.5,136.75,77.5,49.0,52.25,37.5,40.5,32.75,22.5,29.5,53.5,47.75,24.75,14.5,16.25,7.75,3.0
Wed,1.5,0.0,0.0,42.0,95.0,134.75,70.25,49.0,51.75,52.75,44.5,39.5,26.75,29.25,55.25,49.75,27.0,21.25,14.75,7.75,0.75
Thu,0.5,0.0,0.0,41.5,96.25,153.5,71.75,48.75,48.75,40.5,44.75,39.5,35.0,34.25,56.5,54.0,31.0,22.75,17.0,7.75,2.25
Fri,1.0,0.0,0.0,44.6,101.8,144.8,80.6,60.4,57.4,62.2,68.0,45.4,49.0,47.4,118.2,105.8,57.6,30.2,26.6,20.8,3.8
Sat,0.6,0.0,0.0,48.0,69.6,119.6,95.4,94.8,112.2,88.2,101.2,79.4,53.2,57.6,63.2,48.8,29.6,26.0,14.0,13.0,3.8
Sun,0.5,0.0,0.0,34.25,55.5,97.25,87.0,82.25,81.5,67.25,76.75,79.0,58.0,55.75,54.0,51.75,40.0,31.5,17.25,11.75,3.25
