,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,10.5,0.0,0.0,2.75,30.0,87.25,67.5,52.5,51.0,50.75,53.0,51.75,61.75,65.25,78.0,101.5,78.0,60.25,71.25,83.25,38.75
Tue,12.25,0.0,0.0,4.0,31.0,91.25,86.25,51.0,44.0,51.5,65.5,53.25,59.5,56.0,78.75,101.5,66.25,54.0,67.25,80.25,28.0
Wed,8.5,0.0,0.0,3.0,24.5,82.75,75.25,45.0,35.0,54.75,48.25,55.25,59.25,44.5,86.0,94.0,75.0,51.25,55.0,82.75,18.0
Thu,14.0,0.0,0.0,3.0,23.5,75.75,66.75,42.25,40.25,57.75,44.25,55.75,60.5,46.0,79.0,109.75,78.25,60.0,66.5,90.5,30.5
Fri,18.2,0.0,0.0,4.6,25.4,75.4,73.0,41.6,51.6,60.8,47.8,55.4,71.4,68.4,93.6,131.4,95.4,73.4,87.8,102.0,42.0
Sat,19.6,0.0,0.0,3.0,7.6,31.8,45.8,55.0,79.2,78.2,86.0,74.6,67.4,79.8,99.0,74.8,54.6,53.6,67.6,80.2,33.6
Sun,15.25,0.0,0.0,1.25,5.75,20.0,38.75,49.5,64.5,70.5,57.5,56.75,62.75,81.0,96.5,97.25,94.5,76.0,83.5,79.25,44.5
