,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,0.5,0.0,0.0,7.25,28.0,61.25,32.0,28.75,23.75,24.75,25.25,24.0,21.5,24.0,22.5,29.0,12.25,8.25,6.0,2.5,2.5
Tue,0.75,0.0,0.0,10.25,32.25,67.75,33.75,21.5,17.75,21.0,20.0,12.75,13.5,11.75,21.5,21.0,10.5,5.25,4.25,2.5,2.5
Wed,0.0,0.0,0.0,11.0,30.0,68.75,34.25,22.0,20.75,18.75,20.0,16.5,13.25,12.75,20.0,24.5,7.75,6.0,4.75,3.25,2.25
Thu,1.0,0.0,0.0,8.5,28.0,76.25,32.0,20.25,22.75,20.75,21.0,21.75,15.75,17.0,19.75,25.75,8.25,4.5,6.25,4.5,1.5
Fri,1.8,0.0,0.0,14.2,31.8,67.8,36.6,25.4,28.0,29.6,34.4,23.4,20.8,21.4,39.2,43.0,20.8,11.0,9.8,5.8,3.8
Sat,1.0,0.0,0.0,18.8,38.0,60.6,43.0,44.0,63.0,49.8,60.6,37.6,32.0,33.0,41.2,25.2,15.6,10.8,5.4,5.6,1.8
Sun,0.5,0.0,0.0,17.25,25.5,63.25,58.0,48.25,49.5,45.5,63.5,39.5,31.75,28.5,29.75,22.75,16.5,14.0,9.5,4.75,2.25
