,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,2.5,0.0,0.0,1.0,8.75,9.75,7.75,8.0,5.0,8.25,8.5,9.0,12.5,16.75,27.0,34.25,30.75,21.25,25.75,46.0,11.5
Tue,2.5,0.0,0.0,1.25,10.75,7.75,8.25,7.5,5.5,5.75,11.5,12.75,14.0,15.5,27.75,37.5,30.0,23.5,22.75,46.25,13.0
Wed,3.5,0.0,0.0,2.5,11.0,7.75,7.0,5.25,6.25,4.25,12.0,12.25,13.0,14.0,27.25,39.0,25.25,23.5,30.0,44.75,10.5
Thu,3.5,0.0,0.0,1.25,9.5,9.25,9.0,4.5,5.75,4.75,9.75,10.0,12.0,13.75,25.5,36.0,31.75,23.25,23.0,52.5,8.5
Fri,5.0,0.6,0.0,0.6,8.0,10.6,7.4,8.2,4.2,9.0,10.8,12.8,14.6,17.6,31.4,42.4,32.4,22.6,31.8,67.8,19.6
Sat,4.2,0.4,0.0,0.2,2.0,12.2,7.4,5.2,9.4,12.4,15.0,13.0,16.6,15.8,32.2,33.6,20.2,20.4,26.4,36.6,18.0
Sun,3.25,0.5,0.0,0.0,3.5,7.5,3.75,6.75,7.75,7.75,12.5,10.0,14.25,21.75,35.75,40.0,35.0,33.0,33.75,33.75,15.0
