,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,1.5,0.0,0.0,3.5,11.5,12.75,23.0,26.75,29.25,36.75,30.0,25.25,31.25,29.0,28.5,34.0,28.75,20.25,21.0,23.5,12.75
Tue,1.75,0.0,0.0,2.5,13.0,13.0,23.25,34.75,40.5,26.75,25.75,26.0,29.0,30.25,25.5,32.0,27.5,23.5,19.5,19.25,12.25
Wed,1.5,0.0,0.0,2.0,12.0,9.5,20.5,28.5,32.0,30.0,25.0,27.0,39.25,27.25,26.5,29.5,29.5,19.0,23.25,26.75,14.5
Thu,2.5,0.0,0.0,2.0,11.75,15.5,23.75,29.75,29.75,27.75,28.0,31.25,33.0,34.5,29.25,35.5,33.5,15.25,23.75,21.0,13.25
Fri,3.0,0.0,0.0,4.6,10.4,17.0,20.8,25.8,28.0,34.2,34.2,34.2,35.4,40.4,37.8,42.0,38.4,27.0,27.4,33.0,23.0
Sat,2.2,0.0,0.0,1.8,12.4,19.0,35.0,57.0,56.0,46.0,45.4,58.0,59.0,38.2,32.8,35.2,29.4,27.6,24.2,26.6,10.8
Sun,4.25,0.0,0.0,4.0,11.0,10.25,31.5,57.0,48.5,43.5,40.25,48.5,36.0,33.75,38.0,40.0,31.5,26.0,24.25,18.25,15.0
