,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,4.5,0.0,1.25,10.75,26.75,53.0,46.0,60.5,60.5,76.75,84.0,77.75,76.5,88.75,99.25,108.25,83.5,64.75,54.0,40.25,16.5
Tue,2.5,0.0,0.5,8.75,25.5,61.75,51.25,53.5,70.5,81.0,84.5,70.75,64.0,70.75,92.25,105.0,78.25,60.5,57.75,35.0,15.0
Wed,4.5,0.0,1.25,8.75,24.25,54.5,54.0,48.25,69.5,77.75,80.25,69.75,74.75,79.25,114.0,120.5,79.75,61.75,64.0,45.75,12.75
Thu,3.75,0.0,0.5,6.0,27.25,63.75,48.5,46.75,72.25,75.75,80.25,69.0,76.0,77.75,106.5,126.75,83.0,59.0,58.25,44.5,15.75
Fri,7.0,0.0,0.6,9.6,28.4,66.6,60.2,63.2,76.6,100.0,99.8,91.8,105.6,109.4,146.6,184.6,141.0,96.2,86.0,64.4,25.2
Sat,9.0,0.0,0.8,14.6,30.2,64.4,85.8,101.8,98.0,128.4,130.6,126.6,121.0,135.0,133.2,118.2,89.0,74.4,81.2,65.4,24.6
Sun,5.5,0.0,3.0,11.5,36.5,59.5,87.25,102.75,122.25,125.75,120.25,133.0,152.0,153.0,168.75,144.0,127.25,104.5,77.0,48.25,24.5
