,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,7.5,0.0,0.0,5.25,20.25,51.75,44.5,18.5,21.75,27.5,25.0,24.75,31.5,29.0,39.0,64.25,56.25,46.5,46.75,59.25,21.25
Tue,5.5,0.0,0.0,6.25,20.75,64.25,41.0,16.25,17.75,19.25,23.75,26.75,23.5,25.0,41.0,66.25,55.0,51.0,43.5,61.75,17.0
Wed,5.0,0.25,0.0,5.75,23.25,65.5,37.75,16.25,15.0,16.75,24.25,24.0,25.0,28.0,37.0,66.25,68.25,49.5,45.5,58.5,19.5
Thu,6.0,0.0,0.0,6.75,20.0,64.75,42.0,15.25,16.25,13.75,27.25,28.0,26.5,25.0,39.75,67.25,64.5,52.5,58.0,58.75,19.25
Fri,9.2,0.8,0.0,7.8,20.8,67.0,39.2,12.8,14.8,14.8,22.4,27.8,29.6,28.6,49.4,71.4,61.6,64.2,59.6,75.6,31.2
Sat,11.2,0.0,0.0,5.2,11.6,14.0,19.4,31.4,22.2,22.2,29.0,38.6,41.6,48.0,42.2,55.6,45.8,49.8,56.2,60.4,27.6
Sun,7.5,0.25,0.0,3.75,6.25,12.5,19.5,27.5,25.75,22.25,30.5,34.0,33.75,41.25,56.75,56.5,61.5,61.5,60.25,54.0,29.0
