,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,5.5,0.0,0.0,60.25,94.0,115.25,87.5,76.25,78.0,84.75,90.25,84.5,81.5,82.25,161.0,262.25,163.25,104.5,106.5,51.75,26.75
Tue,2.75,0.0,0.0,49.5,96.25,144.0,79.25,75.75,88.25,84.5,82.0,81.0,84.0,92.75,185.75,348.5,193.0,120.75,113.75,73.75,28.25
Wed,5.0,0.0,0.0,55.75,103.5,139.75,82.75,64.75,78.75,84.0,90.75,78.0,77.5,88.0,181.5,348.75,206.25,124.25,127.25,62.0,27.0
Thu,4.25,0.0,0.0,47.25,91.0,149.5,96.25,78.75,84.75,90.25,95.75,90.75,92.5,88.75,190.75,356.0,206.0,134.25,127.75,76.75,31.0
Fri,10.6,0.0,0.0,50.0,97.4,135.8,91.0,79.2,83.4,105.0,102.8,104.0,123.4,116.4,232.6,438.6,287.0,143.4,161.4,106.8,52.4
Sat,10.2,0.0,0.0,50.0,90.0,96.6,127.0,116.2,113.4,122.2,138.8,121.4,115.6,132.2,146.4,141.0,124.0,129.2,122.8,83.2,45.6
Sun,6.5,0.0,0.0,41.25,66.25,95.0,110.0,98.0,101.0,89.25,103.0,113.0,111.25,111.75,119.0,96.75,131.5,113.0,111.25,68.75,24.5
