,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,2.0,0.0,0.0,15.5,32.75,59.0,38.0,29.25,31.25,32.5,29.75,21.75,30.5,30.75,40.75,32.25,31.5,23.0,18.0,10.0,2.5
Tue,1.0,0.0,0.0,14.75,32.5,73.75,30.5,28.0,23.25,27.0,21.25,24.0,21.0,23.25,28.75,24.75,21.0,19.0,15.0,12.0,2.0
Wed,0.75,0.0,0.0,14.25,31.75,68.75,27.0,26.0,28.5,23.25,29.5,21.75,25.75,17.5,29.5,34.5,21.75,16.0,18.75,7.75,3.25
Thu,1.5,0.0,0.0,19.75,36.75,68.5,29.25,20.75,31.0,24.0,18.5,26.5,31.0,25.25,27.25,30.5,22.0,20.75,16.75,9.0,3.5
Fri,1.4,0.0,0.0,16.6,32.8,62.6,30.4,25.6,33.4,29.0,31.2,34.0,32.4,36.6,43.2,44.4,44.2,37.8,28.8,12.6,7.6
Sat,2.8,0.0,0.0,20.8,31.8,45.2,53.2,48.2,63.8,59.8,50.4,49.8,42.2,39.6,45.6,51.2,36.8,40.0,31.4,22.4,7.2
Sun,1.25,0.0,0.0,19.0,19.5,37.5,46.25,46.5,74.5,54.75,53.0,38.75,46.5,37.75,42.75,44.75,41.75,19.75,24.5,12.75,2.25
