,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,2.0,0.0,0.0,19.5,36.75,45.25,36.25,46.0,62.0,70.25,77.0,76.0,78.0,96.25,157.25,270.0,142.5,80.25,82.25,42.5,13.75
Tue,1.0,0.0,0.0,16.0,38.25,54.75,33.75,46.0,66.5,80.0,70.5,82.25,80.0,117.75,192.0,357.25,158.75,101.5,95.25,76.75,13.75
Wed,3.25,0.0,0.0,16.75,46.25,49.25,37.75,41.0,51.25,84.0,77.0,79.0,80.5,130.75,205.25,365.25,186.5,95.25,96.0,57.0,12.75
Thu,2.5,0.0,0.0,16.5,41.75,57.5,36.5,51.75,67.75,80.25,67.0,91.5,84.0,116.75,215.75,373.75,184.75,109.0,104.0,68.5,17.5
Fri,5.4,0.0,0.0,18.8,48.0,62.4,41.2,60.4,64.6,101.2,90.8,95.0,105.0,146.2,263.2,515.0,250.4,139.0,136.0,88.2,18.2
Sat,5.0,0.0,0.0,24.2,31.8,44.2,54.0,54.0,67.2,94.4,92.0,101.0,84.4,116.0,162.0,130.8,89.6,80.4,87.6,59.2,22.4
Sun,2.25,0.0,0.0,15.5,24.25,45.5,49.5,47.25,58.25,74.25,73.75,83.0,81.25,102.0,114.0,92.75,73.25,64.0,63.25,31.5,11.0
