,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,0.75,0.0,0.0,29.25,65.5,91.0,49.75,47.0,35.0,35.0,33.75,37.0,42.0,28.75,43.25,78.25,45.0,23.0,15.75,5.25,2.0
Tue,0.5,0.0,0.0,38.5,74.75,111.0,48.75,36.25,35.0,36.75,41.5,27.0,29.0,25.5,32.5,86.25,39.0,21.75,19.25,7.5,1.5
Wed,0.0,0.0,0.0,31.25,71.25,115.5,49.5,42.25,36.75,37.25,38.25,37.25,27.75,26.25,44.5,85.5,49.25,23.75,12.75,6.5,3.0
Thu,0.5,0.0,0.0,30.25,71.25,110.0,53.0,38.25,35.0,40.5,45.0,31.75,29.0,31.25,48.0,110.0,57.0,27.5,14.0,7.0,2.5
Fri,1.6,0.0,0.0,32.2,71.0,115.2,55.0,38.0,41.8,53.4,48.8,41.0,38.6,37.6,56.0,131.2,83.2,35.4,18.8,11.6,3.0
Sat,2.0,0.0,0.0,28.6,55.8,66.8,68.4,65.2,66.0,66.4,71.6,57.0,45.6,54.4,53.8,44.8,24.0,18.2,14.0,5.4,4.8
Sun,1.25,0.0,0.0,25.25,40.75,64.75,58.5,55.75,55.0,50.0,61.0,46.25,50.0,53.0,40.25,42.0,27.5,24.5,11.75,5.25,2.25
