,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,39.5,0.0,0.0,99.25,155.5,199.25,160.75,167.75,172.5,189.5,164.75,191.25,219.75,280.25,355.5,354.5,278.5,286.5,275.0,195.25,100.0
Tue,28.25,0.0,0.0,94.5,188.75,228.0,162.75,166.5,165.75,197.25,168.25,177.5,224.25,252.25,401.0,407.75,296.25,314.5,302.5,241.5,134.75
Wed,32.75,0.0,0.0,88.75,194.25,216.5,176.75,148.5,164.75,208.5,183.0,179.5,242.5,267.75,404.5,364.5,299.0,318.0,300.25,276.25,159.25
Thu,32.0,0.0,0.0,89.0,193.0,236.5,167.75,165.0,181.0,191.5,191.75,212.25,248.25,274.25,395.25,385.75,320.0,299.0,304.75,281.25,143.75
Fri,55.4,0.0,0.0,104.8,197.4,230.8,196.2,192.8,185.2,305.6,257.6,294.8,285.4,357.4,508.2,494.4,399.2,366.0,404.8,287.8,146.6
Sat,72.2,0.0,0.0,91.4,151.0,197.2,244.6,226.6,254.4,265.4,287.6,283.0,267.4,340.2,342.8,376.6,465.6,505.8,547.2,460.2,212.0
Sun,42.25,0.0,0.0,55.0,121.25,188.0,178.0,208.25,224.75,240.75,274.0,243.5,293.25,336.25,364.75,394.0,446.25,476.5,430.25,279.25,159.5
