,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,0.0,0.0,0.0,7.75,15.0,30.0,14.0,13.0,10.25,4.0,9.75,7.0,7.5,8.75,9.0,9.0,4.25,2.0,2.0,0.5,1.0
Tue,0.5,0.0,0.0,6.0,19.0,33.5,15.5,10.0,9.25,7.0,8.5,5.0,4.25,5.0,14.25,8.25,4.5,1.5,1.25,2.25,0.0
Wed,0.5,0.0,0.0,5.25,16.75,36.5,17.75,9.75,8.0,9.5,9.5,5.5,4.75,3.25,8.75,10.5,4.75,2.75,1.5,1.0,0.0
Thu,0.5,0.0,0.0,6.25,18.0,32.25,19.5,6.25,7.75,8.75,8.25,3.75,6.0,5.5,10.5,9.0,6.75,3.0,1.25,1.5,0.0
Fri,0.4,0.0,0.0,8.6,19.2,28.4,18.8,11.2,11.4,12.4,9.2,7.2,7.8,8.6,19.0,15.6,8.6,5.8,3.8,4.6,0.6
Sat,0.8,0.0,0.0,9.0,18.8,22.4,18.4,18.0,16.2,16.0,16.6,13.0,9.2,10.2,10.0,10.2,6.6,6.4,2.4,2.4,0.8
Sun,0.75,0.0,0.0,3.75,9.5,15.5,20.25,12.5,15.75,20.75,15.5,12.5,8.25,7.75,6.5,12.5,4.25,5.25,4.0,1.75,2.5
