,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,1.0,0.0,0.0,40.75,122.5,238.5,106.75,85.75,93.75,91.5,93.0,64.75,69.75,60.75,78.25,99.25,58.5,29.5,28.25,19.0,8.0
Tue,1.0,0.0,0.0,48.0,155.0,272.5,121.25,90.75,77.25,81.5,88.0,70.0,48.0,55.5,70.25,96.5,57.75,33.75,32.5,21.25,8.25
Wed,1.75,0.0,0.0,46.75,140.25,281.5,125.5,86.5,88.0,80.75,94.25,68.0,55.75,57.25,80.75,116.75,57.5,36.25,29.25,23.75,11.5
Thu,1.25,0.0,0.0,47.0,145.5,275.75,113.25,88.5,84.5,86.75,89.25,64.25,48.75,53.0,72.75,111.5,58.0,32.75,36.25,20.75,9.75
Fri,1.4,0.0,0.0,47.4,140.0,271.0,122.2,88.6,86.2,96.4,93.4,78.2,64.4,60.2,92.8,159.6,90.0,57.8,43.4,36.0,13.0
Sat,4.2,0.0,0.0,53.0,85.6,134.0,132.0,125.8,140.8,144.8,160.4,131.6,109.2,97.8,119.0,103.6,49.8,38.2,37.6,32.2,16.6
Sun,1.5,0.0,0.0,30.5,47.0,133.25,131.5,121.75,133.25,142.25,135.5,119.5,105.0,87.5,101.0,83.5,63.75,53.75,37.0,22.0,6.25
