,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,15.75,0.25,0.0,9.75,18.75,42.75,34.75,21.25,26.5,31.25,34.25,32.0,43.75,56.75,81.25,116.5,97.25,95.75,100.0,113.25,54.25
Tue,14.25,0.75,0.0,7.75,22.0,34.75,30.5,23.0,24.0,24.5,26.0,30.75,41.25,51.0,68.75,119.75,79.0,86.5,84.75,102.75,39.75
Wed,14.5,0.0,0.0,5.0,22.5,28.5,28.25,19.25,17.75,21.0,30.0,31.25,44.75,45.25,75.25,99.25,91.0,87.0,83.5,113.25,42.75
Thu,18.0,0.5,0.0,6.75,24.0,31.0,26.75,16.75,18.0,28.0,30.0,38.0,40.0,41.75,66.75,108.0,91.75,87.5,81.25,107.5,54.25
Fri,17.6,1.6,0.0,5.4,23.8,29.0,31.2,23.0,25.8,24.4,36.4,42.0,49.6,54.4,96.6,125.4,103.8,107.6,111.4,148.4,68.6
Sat,25.2,0.8,0.0,7.0,16.2,22.2,30.8,29.4,33.8,43.8,40.0,46.0,51.2,66.2,76.8,93.4,88.6,98.0,91.6,113.0,64.6
Sun,20.75,1.5,0.0,6.0,7.75,13.5,22.0,19.75,24.25,39.0,40.0,40.5,59.75,76.25,112.0,128.25,140.75,132.25,122.5,117.75,75.5
