,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,7.0,0.0,0.0,34.5,78.25,104.25,86.25,105.5,138.5,171.25,198.5,275.25,307.0,312.25,376.5,424.5,331.0,296.5,304.25,161.5,32.5
Tue,3.75,0.0,0.0,37.25,88.0,124.25,87.75,93.25,144.5,184.25,214.25,250.75,293.25,323.0,363.25,454.0,349.75,301.0,321.0,191.0,35.5
Wed,7.0,0.0,0.0,34.5,78.25,108.0,87.0,99.75,127.0,177.5,228.75,238.0,277.25,326.25,388.5,446.0,350.5,301.5,356.5,193.75,37.75
Thu,3.25,0.0,0.0,37.5,79.5,122.25,90.75,99.5,122.75,182.25,229.25,260.75,320.0,349.25,417.0,477.0,381.25,329.75,374.0,199.0,42.25
Fri,12.2,0.0,0.0,37.0,86.0,115.2,97.2,101.6,126.6,212.6,249.8,312.6,343.6,391.4,462.4,603.6,460.0,402.8,419.4,326.0,70.0
Sat,14.0,0.0,0.0,39.0,59.0,105.8,105.6,134.4,166.8,240.0,304.6,409.8,474.2,520.2,574.8,506.8,448.0,425.6,436.0,291.8,65.0
Sun,6.5,0.0,0.0,32.5,53.75,94.5,105.25,119.25,144.25,205.25,291.75,351.5,503.5,463.5,489.75,424.0,387.5,369.0,331.75,178.0,37.75
