,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,1.25,0.0,0.0,24.0,58.5,89.5,49.0,47.25,45.75,38.0,40.5,36.0,35.5,31.75,34.75,42.5,28.0,15.75,14.0,9.0,2.75
Tue,0.0,0.0,0.0,24.75,74.25,104.0,48.0,33.5,35.0,30.75,41.25,23.25,20.25,19.75,28.25,33.0,18.0,15.25,8.5,9.75,2.75
Wed,0.25,0.0,0.0,24.0,64.5,103.75,50.5,33.0,30.5,32.75,38.75,27.5,19.75,21.5,31.5,35.5,17.5,13.0,6.25,10.0,2.0
Thu,0.5,0.0,0.0,27.0,69.75,100.5,50.75,27.0,34.75,35.25,40.75,25.25,23.0,19.75,31.75,34.25,23.0,12.25,11.25,4.5,3.25
Fri,1.0,0.0,0.0,26.8,67.8,103.2,51.0,36.2,33.2,34.2,42.0,31.8,22.0,29.2,48.2,53.2,40.0,28.2,20.6,14.2,8.0
Sat,0.8,0.0,0.0,24.4,48.0,86.8,76.2,66.4,77.2,66.2,75.4,58.6,53.0,41.6,56.0,50.4,33.0,25.0,28.0,13.2,10.0
Sun,0.25,0.0,0.0,12.75,40.0,68.0,77.0,61.0,65.0,62.0,81.75,55.25,56.75,53.75,53.75,42.75,36.0,30.25,30.25,16.0,4.25
