,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,0.25,0.0,0.0,19.0,37.75,54.25,33.25,37.25,32.75,44.0,45.25,39.25,50.25,60.75,102.0,131.0,64.5,40.0,34.75,17.75,3.25
Tue,0.5,0.0,0.0,16.75,39.25,68.5,28.75,29.5,36.25,58.0,43.0,45.75,55.0,72.75,109.0,163.25,80.25,54.25,45.25,26.0,3.75
Wed,1.25,0.0,0.0,17.0,40.0,76.5,38.25,30.5,39.0,54.25,43.0,35.25,47.75,63.25,104.5,156.25,77.0,55.5,53.0,25.5,3.75
Thu,1.25,0.0,0.0,12.5,37.75,68.75,34.25,26.5,40.5,57.5,45.5,45.75,53.5,87.0,130.5,185.5,85.0,57.0,48.75,27.0,6.25
Fri,2.8,0.0,0.0,15.6,45.0,68.8,40.0,40.4,46.0,69.0,68.6,60.0,88.2,116.6,157.8,230.8,124.0,67.6,110.8,53.6,6.8
Sat,0.6,0.0,0.0,23.6,39.2,59.2,59.6,56.6,52.8,74.2,71.0,67.6,68.0,83.6,98.4,80.6,49.0,38.4,38.2,20.4,5.8
Sun,0.25,0.0,0.0,9.5,25.5,46.0,53.75,39.75,37.75,60.0,60.0,46.0,62.5,58.75,105.5,69.5,61.25,40.75,19.5,15.5,3.25
