,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,2.75,0.0,0.0,35.25,131.25,224.75,223.25,203.5,129.75,140.75,167.25,148.0,92.75,51.25,55.25,54.5,37.0,28.0,29.25,19.75,7.0
Tue,2.5,0.0,0.0,48.75,165.25,295.25,282.0,237.75,148.75,143.0,224.0,159.5,105.5,64.0,48.0,54.75,34.0,27.75,16.0,17.25,6.5
Wed,4.0,0.0,0.0,44.0,155.5,325.0,302.0,217.75,140.75,158.5,195.5,166.25,100.0,58.75,51.5,53.0,44.5,24.5,17.25,20.0,4.0
Thu,4.25,0.0,0.0,45.0,153.25,273.75,300.0,245.5,131.5,136.5,236.0,159.25,105.25,64.5,50.25,74.0,38.0,32.0,26.5,21.0,6.0
Fri,3.2,0.0,0.0,51.4,160.4,299.6,281.4,245.8,134.2,145.2,211.0,161.8,112.0,75.4,69.2,73.0,58.8,27.8,35.8,18.2,8.6
Sat,2.6,0.0,0.0,16.8,60.6,125.2,116.0,125.2,108.2,105.6,117.6,92.4,75.6,55.2,56.6,47.8,41.8,22.8,23.6,22.0,8.2
Sun,3.75,0.0,0.0,12.25,42.0,98.25,124.5,147.5,102.25,91.25,91.0,83.0,58.75,53.25,59.25,37.5,32.75,30.25,31.0,25.0,13.0
