,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,0.25,0.0,0.0,2.75,11.0,18.0,9.5,6.5,5.5,9.25,4.5,9.25,6.0,7.25,3.75,7.25,3.75,1.5,1.75,1.5,1.0
Tue,0.5,0.0,0.0,1.0,16.25,23.0,10.0,6.0,4.5,3.5,4.5,5.5,5.5,3.5,3.0,6.25,2.5,1.5,0.5,1.5,0.0
Wed,0.0,0.0,0.0,1.25,14.5,19.25,10.75,5.75,9.25,7.25,7.25,5.75,4.75,4.0,4.0,8.0,4.5,1.25,0.75,1.0,0.25
Thu,0.0,0.0,0.0,2.0,14.5,19.75,11.5,4.5,8.75,7.0,6.25,4.5,2.25,5.75,5.25,4.25,2.5,1.25,0.75,1.25,0.25
Fri,0.4,0.0,0.0,2.0,15.0,21.2,9.4,6.8,5.8,4.4,10.4,5.0,4.2,4.0,5.4,7.6,4.6,2.0,1.4,2.2,0.2
Sat,0.2,0.0,0.0,1.2,8.6,16.4,10.8,10.4,11.0,10.8,15.4,8.8,8.8,9.0,13.0,9.8,3.2,3.2,2.0,2.2,1.0
Sun,0.0,0.0,0.0,2.25,5.5,19.75,15.75,9.5,8.0,11.5,14.25,18.0,26.0,24.0,16.25,15.5,7.5,3.5,1.5,2.75,1.5
