,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,5.25,0.0,0.0,21.75,42.0,69.25,74.75,83.0,100.0,128.75,133.5,147.25,150.25,156.0,196.75,210.75,172.5,151.25,165.5,97.0,21.0
Tue,2.75,0.0,0.0,21.75,49.0,84.75,56.75,70.5,83.0,120.75,123.5,140.0,146.5,157.5,197.0,248.5,177.75,174.5,194.75,98.75,21.25
Wed,2.5,0.0,0.0,20.5,35.75,74.5,59.75,67.25,89.25,123.5,137.75,133.75,140.5,154.25,202.25,260.25,192.0,163.0,201.5,99.5,28.5
Thu,2.5,0.0,0.0,17.25,48.75,78.75,49.75,62.5,81.0,110.0,127.25,146.0,143.5,160.75,216.25,266.0,193.75,189.25,212.5,101.25,28.75
Fri,8.6,0.0,0.0,17.2,38.2,69.8,59.0,66.8,82.6,124.4,147.4,160.2,171.4,189.4,249.2,303.0,253.4,230.4,244.2,188.6,34.8
Sat,4.6,0.0,0.0,17.8,39.0,64.2,94.0,88.4,116.0,172.0,179.4,205.8,228.0,263.0,271.6,258.8,226.2,222.2,251.4,160.2,44.0
Sun,5.0,0.0,0.0,18.25,26.0,66.25,72.0,88.5,135.0,175.0,198.75,211.75,251.75,225.0,275.75,223.75,229.75,189.5,206.75,108.25,23.0
