,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,1.5,0.0,0.0,27.5,86.5,192.25,101.75,73.25,63.5,71.75,63.75,60.75,52.0,53.25,79.5,65.75,43.5,16.75,15.75,7.5,3.25
Tue,0.25,0.0,0.0,34.5,114.0,245.25,117.25,78.0,66.25,69.75,68.75,63.5,56.5,52.5,82.75,68.75,41.75,21.0,17.75,8.5,4.25
Wed,1.5,0.0,0.0,32.5,114.25,255.0,130.75,79.0,74.75,70.75,68.0,59.75,49.75,49.25,73.5,60.5,50.0,18.25,19.25,8.25,5.75
Thu,2.5,0.0,0.0,29.25,120.0,242.75,113.75,83.75,72.25,71.5,68.5,51.25,50.5,55.25,80.75,80.75,40.0,18.75,17.5,9.75,5.25
Fri,3.2,0.0,0.0,36.6,115.4,239.6,120.4,82.0,71.8,84.8,77.4,68.6,58.2,61.0,87.6,97.4,55.0,27.0,17.8,10.6,8.2
Sat,1.8,0.0,0.0,30.8,54.4,98.4,102.6,114.4,118.0,109.4,130.2,92.4,75.0,62.8,83.4,47.4,27.6,19.2,12.2,8.2,5.8
Sun,0.25,0.0,0.0,20.0,34.5,101.25,96.25,85.5,101.0,102.75,106.25,76.75,57.5,50.75,56.5,40.75,22.75,22.5,14.0,9.0,2.75
