,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,31.0,0.0,0.0,22.5,67.25,119.5,83.5,83.75,77.25,98.0,93.0,105.75,126.25,116.5,170.5,250.25,191.5,158.75,169.0,173.75,61.5
Tue,22.25,0.0,0.0,19.5,90.75,135.0,98.0,85.0,78.25,91.5,105.0,109.25,103.75,121.5,174.0,285.5,212.75,146.5,158.25,168.0,51.5
Wed,23.0,0.0,0.0,19.5,89.75,125.75,102.0,83.75,74.0,83.5,101.75,108.25,100.0,122.75,182.5,274.75,206.25,161.5,160.75,165.0,53.75
Thu,28.0,0.0,0.0,19.0,94.0,140.25,87.0,72.0,71.25,83.0,99.75,104.25,105.0,124.5,179.75,276.0,206.5,151.75,169.75,173.25,53.5
Fri,39.6,0.0,0.0,21.2,99.2,140.8,85.0,83.0,69.4,86.6,105.6,117.8,112.4,144.4,219.2,291.8,266.8,193.2,208.4,219.2,81.6
Sat,35.2,0.0,0.0,14.6,40.6,87.0,94.0,124.8,134.6,129.8,143.2,150.4,132.6,176.4,201.8,211.2,184.8,151.4,182.0,183.4,69.6
Sun,30.25,0.0,0.0,5.0,24.0,51.75,62.5,89.0,148.0,230.25,242.0,348.75,334.5,214.25,233.75,230.75,210.0,199.25,200.75,168.75,89.75
