,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,9.25,0.25,0.0,16.0,58.25,71.75,52.75,36.0,28.25,39.75,41.5,52.5,38.0,51.5,82.5,105.25,93.5,67.75,89.0,118.25,28.25
Tue,9.25,0.0,0.0,13.75,73.75,75.5,44.25,32.25,29.25,41.25,63.25,48.25,52.25,60.5,80.5,109.25,91.75,70.5,85.5,115.75,27.75
Wed,7.5,0.25,0.0,13.5,67.75,89.5,55.0,28.5,31.0,35.0,45.5,41.75,39.5,48.0,74.0,107.75,82.25,76.0,82.25,127.5,32.75
Thu,9.0,0.5,0.0,14.5,66.0,83.25,61.5,39.0,30.25,38.75,48.5,41.25,43.25,49.75,81.0,106.25,90.75,75.0,66.75,128.75,25.5
Fri,12.6,1.0,0.0,15.6,67.0,83.8,48.8,30.6,28.8,43.2,50.6,45.8,50.6,54.6,89.6,108.2,95.8,90.8,95.0,140.6,35.2
Sat,10.4,0.2,0.0,7.2,14.4,31.4,25.4,22.6,20.6,32.6,45.2,46.0,50.2,63.0,79.8,82.0,65.4,76.4,90.0,111.6,35.0
Sun,14.25,0.75,0.0,5.0,10.75,32.75,27.0,28.25,26.5,28.5,41.0,38.25,44.75,58.5,118.25,87.25,101.0,93.0,91.75,90.0,45.5
