,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,0.0,0.0,0.0,8.75,27.25,39.75,19.0,15.5,12.5,11.25,13.25,10.25,10.5,6.0,9.75,14.25,7.75,4.25,3.25,0.5,0.75
Tue,0.25,0.0,0.0,11.0,24.25,49.25,18.75,10.0,13.0,13.0,8.25,6.0,9.0,14.25,16.75,17.0,6.0,3.5,2.25,1.5,1.75
Wed,0.25,0.0,0.0,8.75,29.0,38.25,15.25,10.75,11.5,12.75,18.25,5.25,4.5,11.25,12.0,12.0,5.5,2.75,3.0,2.0,0.5
Thu,0.75,0.0,0.0,9.75,31.75,50.5,21.5,14.25,11.0,18.25,12.75,7.0,8.0,9.75,16.75,22.75,6.5,5.75,3.0,2.5,1.75
Fri,1.4,0.0,0.0,13.6,32.4,51.6,15.8,20.2,14.0,25.4,38.2,40.4,9.6,11.6,25.6,22.8,10.2,7.0,5.0,3.0,2.4
Sat,0.6,0.0,0.0,11.8,14.8,23.2,23.0,20.0,23.6,23.8,19.4,22.6,16.4,17.8,20.2,22.2,10.0,6.2,3.8,3.4,1.2
Sun,0.0,0.0,0.0,6.5,13.0,20.25,23.25,20.0,25.75,20.0,17.75,28.25,15.75,18.5,12.25,29.25,21.25,11.25,2.5,2.25,1.0
