,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,0.25,0.0,0.0,21.25,68.75,123.25,69.5,53.25,49.5,56.75,56.75,50.75,50.25,54.5,107.5,129.0,65.75,28.5,19.0,20.5,3.75
Tue,1.5,0.0,0.0,26.0,77.25,131.25,76.75,57.0,57.75,67.25,58.25,47.5,42.5,44.75,121.0,172.25,70.5,31.5,18.25,11.5,4.0
Wed,0.75,0.0,0.0,29.5,71.0,137.0,69.75,56.75,52.0,56.0,64.25,47.0,38.0,50.25,113.25,157.5,81.5,27.0,15.5,12.0,3.5
Thu,1.0,0.0,0.0,25.0,75.75,132.75,77.0,52.0,60.75,51.75,65.75,56.75,43.0,46.75,118.25,145.0,91.75,34.25,17.5,25.75,4.5
Fri,1.8,0.0,0.0,31.4,75.0,143.6,76.6,54.8,63.2,68.4,78.2,63.4,69.6,79.8,161.8,217.2,117.4,41.8,30.0,14.0,8.0
Sat,1.4,0.0,0.0,26.8,40.8,88.8,87.8,69.6,70.8,84.4,101.8,67.6,56.4,62.4,65.6,50.6,33.2,15.2,12.0,7.8,3.8
Sun,1.5,0.0,0.0,13.75,28.5,96.0,74.5,68.25,73.5,88.5,80.25,63.0,51.0,55.5,63.5,42.5,36.5,22.5,9.75,5.25,3.75
