,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,0.0,0.0,0.0,2.0,2.0,7.0,5.25,7.25,7.0,8.5,4.75,3.25,6.0,6.25,6.75,7.25,4.0,1.75,2.75,1.25,0.5
Tue,0.0,0.0,0.0,1.5,2.75,4.75,8.25,3.25,6.75,5.25,3.5,6.5,5.25,7.75,5.75,9.75,6.25,2.5,1.25,2.25,0.5
Wed,0.5,0.0,0.0,1.75,3.25,5.0,7.75,3.5,6.75,3.5,4.5,8.0,6.25,6.0,8.75,10.0,6.25,2.5,2.25,2.0,0.25
Thu,0.25,0.0,0.0,1.25,3.75,5.5,7.0,5.0,5.25,7.0,11.0,7.5,7.5,8.25,9.25,9.75,7.75,4.25,1.5,2.25,0.75
Fri,0.6,0.0,0.0,1.4,6.0,6.2,7.4,4.8,6.2,5.6,8.8,9.2,9.0,6.2,14.8,18.6,10.0,7.0,4.2,2.6,0.8
Sat,0.0,0.0,0.0,1.8,2.2,4.2,8.8,10.8,13.6,16.0,13.8,13.8,21.0,18.0,13.4,8.8,7.8,6.4,3.4,5.4,2.8
Sun,0.0,0.0,0.0,0.5,2.75,7.0,4.0,7.5,12.0,12.75,11.25,12.0,23.75,15.5,10.0,11.0,5.75,3.5,9.5,3.75,0.75
