,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,7.75,0.0,0.0,3.5,7.25,12.5,14.25,19.25,15.25,23.0,22.25,33.25,37.25,43.5,67.5,94.5,85.0,70.0,87.75,104.25,39.5
Tue,8.25,0.0,0.0,2.25,5.5,9.5,10.5,16.75,13.0,14.5,21.25,21.25,30.25,42.25,69.75,84.25,81.25,59.75,69.25,121.5,38.5
Wed,7.25,0.0,0.0,1.25,5.75,8.75,8.25,9.0,8.0,14.75,22.25,23.5,24.5,30.5,59.25,92.75,97.75,66.25,77.5,113.5,41.0
Thu,8.0,0.25,0.0,1.5,6.0,10.0,5.75,9.5,14.25,14.5,21.5,28.5,33.75,38.25,64.5,94.0,79.0,66.25,81.5,115.25,42.5
Fri,17.6,0.0,0.0,2.0,5.8,8.0,9.2,10.6,17.8,21.8,25.0,34.8,48.4,51.0,82.4,116.8,109.8,92.2,111.2,151.4,57.4
Sat,19.0,0.0,0.0,4.2,32.6,17.8,15.6,15.0,24.0,29.8,44.2,50.0,52.6,74.6,111.8,90.4,94.8,92.2,87.2,127.4,59.4
Sun,11.75,0.0,0.0,7.5,7.5,12.75,16.0,21.5,22.5,31.5,33.75,48.75,51.25,67.0,103.0,122.75,110.25,103.75,86.75,99.0,46.75
